Textbox1,Brand_Name,subject_name1,sa,NM_ID,Barcode,ts_name,Quantity_ForSale_Other,Quantity_ForSale_Novosib,Quantity_ForSale_Khabarovsk,Quantity_ForSale_Krasnodar,Quantity_ForSale_Ekaterinburg,Quantity_ForSale_SPb,price_ru,discount,price_ru_discount
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEb330/LT-GREEN,10273334,2000206886048,0,5,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-H3398/BEIGE,8303312,2000103918163,0,5,,,,,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEX696/69-GRAY,7881479,2000086329499,0,2,,,,3,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEX700-B/21-GRAY,8467845,2000115098136,0,5,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Переходники,V-02/MICRO-USB-BLACK,8469858,2000107664363,0,5,,,,,,1 314,75,328
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap01/01,7306036,2000063995006,40,3,,,,1,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,CHFEGL,Сумки,CH-1934/APRICOT-9029,8274743,2000099812308,0,4,,,,,,3 100,50,1 550
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,CHFEGL,Сумки,CH-1934/BLACK-401,8274649,2000099812285,0,4,,,,,,3 100,50,1 550
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,CHFEGL,Сумки,CH-1934/COFFEE-885,8273982,2000099812278,0,4,,,,,,3 100,50,1 550
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,CHFEGL,Сумки,CH-JK181215/WINE-RED,8271726,2000099812230,0,4,,,,,,3 700,50,1 850
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE08/BEAD_LIGHT_BROWN,7625967,2000078680324,0,3,,,,,1,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE08/DEEP-GREEN-1703,10212394,2000201569120,0,4,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE08/WINE-1762,10212577,2000201569076,0,4,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE08/WINERED,7625971,2000078680362,0,2,,,1,,1,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-10/BLACK,9186491,2000145498302,0,4,,,,,,6 975,35,4 533
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-521-2/GREEN-1703,8897317,2000133786565,0,3,,,,1,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-521-5/COFFEE-1710,8948130,2000135499067,0,4,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-522/SILVER-55,8752334,2000127036553,0,4,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-605/DOUBLE-DARK-PURPLE,9057972,2000140649556,0,4,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-7055-6/PEARL-COFFEE-1781,9212682,2000147053158,0,4,,,,,,6 975,45,3 836
