Textbox1,Brand_Name,subject_name1,sa,NM_ID,Barcode,ts_name,Quantity_ForSale_Other,Quantity_ForSale_Novosib,Quantity_ForSale_Khabarovsk,Quantity_ForSale_Krasnodar,Quantity_ForSale_Ekaterinburg,Quantity_ForSale_SPb,price_ru,discount,price_ru_discount
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-KO25/SILVER-GREY,8395119,2000103918002,0,2,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-KO25/SILVER-WHITE,8395574,2000103918859,0,,,,2,,,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEX696/58-PURPLE,7882011,2000086329468,0,,,,,2,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEX696/81-COFFEE,7882148,2000086329475,0,,,,1,,1,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEX696/88-L-PINK,7882334,2000086329482,0,1,,,,,1,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEX700/21-40-GREY,8351789,2000109467160,0,2,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEX700/40-21-PINK,8351852,2000109467146,0,2,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEX700/59SILVERY,7827527,2000086475202,0,1,,,,,1,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEX700-B/66-WHITE,8467708,2000115098112,0,1,1,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Jean Andre,Сумки,JJA21020/H2095-304,7788096,2000085084092,0,1,1,,,,,3 000,50,1 500
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,SarSa,Сумки,S-705/WHITE,11325259,2000262359272,0,2,,,,,,4 750,35,3 087
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,SarSa,Сумки,S8052/SHALOW-BLUE,8125750,2000098267376,0,,,1,,1,,3 570,50,1 785
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,SarSa,Сумки,S-8195/BRIGHT-RED,11332007,2000262359487,0,2,,,,,,4 750,35,3 087
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,SarSa,Сумки,S-8224/FRUIT-GREEN,11068647,2000250005129,0,2,,,,,,4 750,35,3 087
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Кабели,BDL-S11-V8-MICRO/BLACK,8840470,2000130880006,0,2,,,,,,1 200,65,420
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,VONK,Переходники,V-O7/MICRO-USB,8469537,2000107664516,0,2,,,,,,1 200,65,420
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Zocai,Сумки,ZOK15145/D-BLUE,8340514,2000109189154,0,2,,,,,,3 620,50,1 810
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Zocai,Сумки,ZOK15148/BLUE,8268357,2000099324382,0,1,1,,,,,3 000,50,1 500
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Zocai,Сумки,ZOK1541/BROWN,8339691,2000109189338,0,2,,,,,,3 620,50,1 810
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Zocai,Сумки,ZOK15869/D-RED,8340643,2000109189192,0,2,,,,,,3 620,50,1 810
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Zocai,Сумки,ZOSM16005/D-RED,8269257,2000099324337,0,2,,,,,,3 000,50,1 500
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Zocai,Сумки,ZOSM16005/L-BLUE,8270954,2000099324320,0,,1,,1,,,3 000,50,1 500
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Zocai,Сумки,ZOSM28/D-BLUE,8339960,2000109189017,0,1,,,,1,,3 620,50,1 810
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Zocai,Сумки,ZOSR49/BEIGE-BROWN,8339588,2000109189093,0,1,1,,,,,3 620,50,1 810
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Zocai,Сумки,ZOSR49/BROWN,8340034,2000109189123,0,2,,,,,,3 620,50,1 810
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Zocai,Сумки,ZOSR49/D-RED,8340641,2000109189208,0,1,,,,1,,3 620,50,1 810
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Палантины,SCM/21,6687747,2000040830146,0,1,,,,,,2 050,50,1 025
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Палантины,SCM/27,6687749,2000040830115,0,1,,,,,,2 050,50,1 025
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Палантины,SCM/6,6687751,2000040830047,0,1,,,,,,2 050,50,1 025
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap01/01,6766125,2000043882012,48-56,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap02/02,6766129,2000043882043,48-56,,1,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap12/01,6767404,2000043882197,48-56,,1,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap15/01,6767414,2000043882234,48-56,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap21/02,6768441,2000043882784,48-56,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap23/02,6768445,2000043882555,48-56,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap23/04,6768447,2000043882722,48-56,,1,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap25/01,6773622,2000043882487,48-56,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap33/01,6774766,2000043882630,48-56,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap36/01,6775160,2000043882739,48-56,,,,,,1,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap40/04,7063216,2000054814033,48-56,,1,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap40/09,7063221,2000054814088,48-56,,,1,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap41/10,7064204,2000054814200,48-56,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap42/02,7065376,2000054862256,48-56,,,,1,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap45/03,7066838,2000054862492,48-56,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap46/01,7065043,2000054862232,48-56,,1,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap46/04,7066501,2000054862201,48-56,,1,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap46/07,7066554,2000055091372,48-56,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap46/09,7066556,2000055091396,48-56,,1,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap47/01,7072458,2000054862188,48-56,,,1,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap47/03,7072460,2000054862164,48-56,,,1,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap50/03,7074657,2000055037080,48-56,,,1,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap51/01,7072683,2000055091006,48-56,,,,,,1,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap54/02,7065690,2000055091082,48-56,,,,,1,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap54/04,7065692,2000055091105,48-56,,,,,1,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap55/07,7063647,2000055308029,48-56,,,1,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap56/05,7067360,2000055091235,48-56,,,,,1,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap57/01,7065783,2000055091259,48-56,,,1,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap59/01,7065777,200005501419,48-56,,,,,1,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap60/05,7063528,2000055091501,48-56,,,,,1,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap64/02,7067133,2000055308388,48-56,,,1,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap64/07,7067137,2000055308432,48-56,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap64/08,7067138,2000055308449,48-56,,,,,,1,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap65/01,7063076,2000055308470,48-56,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCap65/08,7063082,2000055499048,48-56,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки,WCapS15/BEIGE,10387149,,48-54,1,,,,,,2 800,50,1 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap01/03,7306060,2000063995020,40,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap01/04,7306061,2000063995037,40,,1,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap03/04,7306296,2000063995129,40,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap03/05,7306297,2000063995136,40,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap04/03,7306414,2000063995167,40,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap06/01,7306662,2000063995242,40,,,1,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap10/01,7307934,2000064438052,40,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap10/02,7307950,2000064438069,40,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap10/05,7307953,2000064438090,40,,1,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap11/01,7308012,2000064438106,38,,,,,1,,1 050,30,735
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap11/02,7308076,2000064438113,38,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap11/03,7308077,2000064438120,38,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap11/04,7308078,2000064438137,38,1,,,,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap12/04,7308391,2000064438182,38,,,,1,,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY,Шапки для малышей,ChCap13/05,7309171,2000064438298,40,,,,,1,,1 050,50,525
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY LEATHER,Кошельки,Wall02/Black,7722723,2000082643018,0,1,,,,,,4 900,50,2 450
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY.,Джемперы,WJUM01/01,6784074,2000044251275,48,1,,,,,,4 250,50,2 125
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY.,Джемперы,WJUM01/01,6784074,2000044251282,50,1,,,,,,4 250,50,2 125
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY.,Джемперы,WJUM01/01,6784074,2000044251299,52,1,,,,,,4 250,50,2 125
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY.,Жакеты,KGW14/01,6782916,2000044251244,50,1,,,,,,4 250,30,2 975
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY.,Жакеты,KGW14/01,6782916,2000044251237,56,,,,,,1,4 250,30,2 975
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY.,Кардиганы,KGW02/03,6777767,2000044121356,52,1,,,,,,4 550,50,2 275
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY.,Кардиганы,KGW11/01,6781887,2000044121370,52,,1,,,,,4 250,50,2 125
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Alex DANDY.,Кофты,KGW13/01,6782915,2000044251145,46,1,,,,,,4 250,50,2 125
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Angel Barcelo,Сумки,AB-0044-1B/PINK,8760486,2000127613129,0,1,,,,,,3 150,50,1 575
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Angel Barcelo,Сумки,AB-AK11282/D-RED,8278750,2000099998002,0,,,1,,,,3 000,50,1 500
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Calentino,Сумки,CB249/PINK,7784002,2000083278028,0,,,,,,1,4 100,50,2 050
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Calentino,Сумки,CB902/GRAY,7785053,2000083278110,0,1,,,,,,4 700,50,2 350
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Calentino,Сумки,CB902/L-GREEN,7785088,2000083278127,0,1,,,,,,4 700,50,2 350
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Calentino,Сумки,CB902/PINK,7784905,2000083278141,0,,,1,,,,4 700,50,2 350
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Calentino,Сумки,CB902/SILVER,7785101,2000083278134,0,1,,,,,,4 700,50,2 350
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Calentino,Сумки,CH921/GREEN,7785826,2000083278011,0,1,,,,,,3 500,50,1 750
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,Calentino,Сумки,CH921/WHITE,7785795,2000083278004,0,1,,,,,,3 500,50,1 750
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,CHFEGL,Сумки,CH-1934/BEIGE-9012,8272205,2000099812292,0,,,1,,,,3 100,50,1 550
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,CHFEGL,Сумки,CH-1953/PL-5126,8274802,2000099812087,0,1,,,,,,3 900,50,1 950
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,CHFEGL,Сумки,CH-2054/COFFEE,8271994,2000099812049,0,1,,,,,,3 500,50,1 750
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,CHFEGL,Сумки,CH-2054/RED,8271708,2000099812032,0,1,,,,,,3 500,50,1 750
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,CHFEGL,Сумки,CH-2055/COFFEE,8274665,2000099812193                 ,0,1,,,,,,3 500,50,1 750
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,CHFEGL,Сумки,CH-2055/RED,8274666,2000099812179,0,1,,,,,,3 500,50,1 750
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,CHFEGL,Сумки,CH-3009/AP-23,8272035,2000099812155,0,1,,,,,,3 500,50,1 750
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,CHFEGL,Сумки,CH-Y1764/BLACK-B-403,8274628,2000099812322,0,1,,,,,,4 100,50,2 050
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-7129-A/COFFEE,9839670,2000173810039,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-7129-A/D-GREEN,9840270,2000173810008,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D86681/GREEN,6803543,2000045930032,0,1,,,,,,3 250,45,1 787
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8713/1,9855112,2000174852090,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8713/2,9855239,2000174852106,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8713/3,9855151,2000174852120,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8713/4,9855174,2000174852052,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8713/5,9855294,2000174852083,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8713/6,9855134,2000174852113,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8713/8,9855430,2000174852069,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8912-A/BROWN,9840025,2000173810114,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8912-A/CIARET,9839504,2000173810084,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8912-A/GRAY,9838481,2000173810091,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8912-A/KHAKI,9832992,2000173810107,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8912-A/PURPLE,9839366,2000173810077,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8912-B/GRAY,9850695,2000174852014,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8912-B/GREEN,9850083,2000174852007,0,,,,1,,,8 000,35,5 200
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8913-A/BLACK,9837853,2000173810176,0,,,,,,1,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8913-A/BRONZE,9833355,2000173810138,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8913-A/GRAY,9838451,2000173810169,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8913-A/PURPLE,9838002,2000173810183,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8923-B/CIARET,9837810,2000173810282,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8923-B/GREEN,9837839,2000173810305,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8928-A/RED-WINE,9832422,2000173810329,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8928-B/GRAY,9832038,2000173810350,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8928-B/GREEN,9832289,2000173810367,0,,1,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8928-D/2,9849244,2000174852182,0,,1,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8928-D/5,9849810,2000174852168,0,1,,,,,,8 000,45,4 400
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA,Сумки,D-8931-A/BROWN,9830929,2000173810435,0,,,1,,,,8 000,45,4 400
